Naziv,Šifra,Marka,Jedinica mjere,Cijena za jedinicu mjere,Maloprodajna cijena EUR,Poseban oblik prodaje,Naziv posebnog oblika prodaje,Sidrena cijena EUR (10.09.2026.),Barkod,Dostupnost
Rola Nomura JOSUKE 840FD,ROL-011,Pescatore,,,32.90,NE,,32.90,,nedostupno
Jig glava Nomura 5 g – 1/0 (3 kom),VAR-032,Nomura,,,1.70,NE,,1.70,,dostupno
Jig glava Nomura 7.5 g – 1/0 (3 kom),VAR-033,Nomura,,,1.85,NE,,1.85,,dostupno
Šešir s obodom zeleni,OPR-007,Pescatore,,,10.00,NE,,10.00,,dostupno
Ruksak maskirni Deluxe 60 L,OPR-008,Pescatore,,,68.00,NE,,68.00,,dostupno
Rola SHIZUKA SK13 3000FD (s najlonom),ROL-012,Pescatore,,,12.90,NE,,12.90,,dostupno
Spiner River br.3 9 g – srebno/crveno/crni,VAR-034,Pescatore,,,1.29,NE,,1.29,,dostupno
Spiner River br.4 13 g – srebno/crveno/crni,VAR-035,Pescatore,,,1.29,NE,,1.29,,dostupno
Spiner Waterwings br.3 5.5 g – crveno/bijeli,VAR-036,Waterwings,,,1.99,NE,,1.99,,dostupno
Spiner Waterwings br.3 5.5 g – srebrni,VAR-037,Waterwings,,,1.99,NE,,1.99,,dostupno
Plovak klizni stiroporni 10 g,PLO-001,Pescatore,,,1.80,NE,,1.80,,dostupno
Plovak klizni stiroporni 15 g,PLO-002,Pescatore,,,1.85,NE,,1.85,,dostupno
Plovak klizni stiroporni 25 g,PLO-003,Pescatore,,,1.90,NE,,1.90,,dostupno
Plovak klizni stiroporni 35 g,PLO-004,Pescatore,,,1.95,NE,,1.95,,dostupno
Udica Samurai Carp veličina 1 (20 kom),UDI-001,Samurai,,,2.00,NE,,2.00,,dostupno
Udica Samurai Carp veličina 2 (20 kom),UDI-002,Samurai,,,2.00,NE,,2.00,,dostupno
Udica Samurai Carp veličina 4 (20 kom),UDI-003,Samurai,,,2.00,NE,,2.00,,dostupno
Udica Samurai Carp veličina 6 (20 kom),UDI-004,Samurai,,,2.00,NE,,2.00,,dostupno
Udica Samurai s ušicom veličina 2 (20 kom),UDI-005,Samurai,,,2.00,NE,,2.00,,dostupno
Udica Samurai s ušicom veličina 4 (20 kom),UDI-006,Samurai,,,2.00,NE,,2.00,,dostupno
Olovo sačma 70 g,OLO-001,Pescatore,,,3.55,NE,,3.55,,dostupno
Olovo sačma 120 g,OLO-002,Pescatore,,,5.70,NE,,5.70,,dostupno
Shad varalica VENOM DR03 55 mm – boja 01 (20 kom),VAR-001,Pescatore,,,5.65,NE,,5.65,,dostupno
Shad varalica VENOM DR03 55 mm – boja 04 (20 kom),VAR-002,Pescatore,,,5.65,NE,,5.65,,dostupno
Shad varalica VENOM DR03 55 mm – boja 07 (20 kom),VAR-003,Pescatore,,,5.65,NE,,5.65,,dostupno
Shad varalica VENOM DR03 75 mm – boja 01 (20 kom),VAR-004,Pescatore,,,6.10,NE,,6.10,,dostupno
Shad varalica VENOM DR03 75 mm – boja 04 (20 kom),VAR-005,Pescatore,,,6.10,NE,,6.10,,dostupno
Twister varalica VENOM DR1 85 mm – boja 04 (10 kom),VAR-006,Pescatore,,,3.10,NE,,3.10,,dostupno
Twister varalica VENOM DR1 85 mm – boja 06 (10 kom),VAR-007,Pescatore,,,3.10,NE,,3.10,,dostupno
Shad varalica VENOM DR12 88 mm – boja 02 (7 kom),VAR-008,Pescatore,,,3.95,NE,,3.95,,dostupno
Shad varalica VENOM DR12 88 mm – boja 04 (7 kom),VAR-009,Pescatore,,,3.95,NE,,3.95,,dostupno
Shad varalica VENOM DR12 88 mm – boja 05 (7 kom),VAR-010,Pescatore,,,3.95,NE,,3.95,,dostupno
Shad varalica VENOM DR36 80 mm – boja 04 (6 kom),VAR-012,Pescatore,,,4.35,NE,,4.35,,dostupno
Shad varalica VENOM DR36 80 mm – boja 09 (6 kom),VAR-013,Pescatore,,,4.35,NE,,4.35,,dostupno
Shad varalica VENOM DR36 100 mm – boja 02 (4 kom),VAR-014,Pescatore,,,4.60,NE,,4.60,,dostupno
Shad varalica VENOM DR36 100 mm – boja 04 (4 kom),VAR-015,Pescatore,,,4.60,NE,,4.60,,dostupno
Shad varalica VENOM DR36 100 mm – boja 09 (4 kom),VAR-016,Pescatore,,,4.60,NE,,4.60,,dostupno
Shad varalica VENOM DR40 95 mm – boja 01 (7 kom),VAR-017,Pescatore,,,5.80,NE,,5.80,,dostupno
Shad varalica VENOM DR40 95 mm – boja 03 (7 kom),VAR-018,Pescatore,,,5.80,NE,,5.80,,dostupno
Najlon Pescatore DS 0.12 mm – 150 m (2.7 kg),NAJ-001,Pescatore,,,6.70,NE,,6.70,,dostupno
"Najlon Pescatore DS 0.18 mm – 150 m (6,3 kg)",NAJ-002,Pescatore,,,6.70,NE,,6.70,,dostupno
Najlon Fluorine 0.12 mm – 150 m (4.4 kg),NAJ-003,Pescatore,,,3.90,NE,,3.90,,dostupno
Najlon Fluorine 0.14 mm – 150 m (5.1 kg),NAJ-004,Pescatore,,,3.90,NE,,3.90,,dostupno
Najlon Fluorine Big Fish 0.40 mm – 300 m (18 kg),NAJ-005,Pescatore,,,5.80,NE,,5.80,,dostupno
Najlon Fluorine Carp 0.30 mm – 250 m (11 kg),NAJ-006,Pescatore,,,5.20,NE,,5.20,,dostupno
Najlon Fluorine Carp 0.32 mm – 250 m (12.5 kg),NAJ-007,Pescatore,,,5.20,NE,,5.20,,dostupno
Najlon Fluorine Carp 0.35 mm – 250 m (14 kg),NAJ-008,Pescatore,,,5.20,NE,,5.20,,dostupno
Fluorocarbon Pescatore 0.20 mm – 50 m (6.5 kg),NAJ-009,Pescatore,,,6.10,NE,,6.10,,dostupno
Fluorocarbon Pescatore 0.26 mm – 50 m (8.5 kg),NAJ-010,Pescatore,,,6.10,NE,,6.10,,dostupno
Upredenica Pescatore x8 0.10 mm – 150 m (6.8 kg),NAJ-011,Pescatore,,,14.80,NE,,14.80,,dostupno
Upredenica Pescatore x8 0.12 mm – 150 m (7.9 kg),NAJ-012,Pescatore,,,14.80,NE,,14.80,,dostupno
Upredenica Pescatore x8 0.14 mm – 150 m (9.2 kg),NAJ-013,Pescatore,,,14.80,NE,,14.80,,dostupno
Upredenica Pescatore x8 0.16 mm – 150 m (10.5 kg),NAJ-014,Pescatore,,,14.80,NE,,14.80,,dostupno
Umjetni kukuruz žuti (30 kom),DOD-001,Pescatore,,,2.65,NE,,2.65,,dostupno
Kutija za pribor dupla 20 × 13.5 × 3.5 cm,KUT-001,Pescatore,,,2.95,NE,,2.95,,dostupno
Štap DELTA Match 4 m,STP-001,Pescatore,,,13.40,NE,,13.40,,dostupno
Sjekira STAMINA inox – dužina 29.7 cm,NOZ-024,Pescatore,,,73.20,NE,,73.20,,dostupno
Pila sklopiva – list 18 cm,NOZ-027,Pescatore,,,14.30,NE,,14.30,,dostupno
Vrša sklopiva okrugla 30 × 60 cm,MRE-002,Pescatore,,,13.30,NE,,13.30,,dostupno
Rod pod držač štapova APPROACHABLE,OPR-002,Pescatore,,,30.90,NE,,30.90,,dostupno
Tripod držač 120 cm,OPR-003,Pescatore,,,31.80,NE,,31.80,,dostupno
Čuvarica (sak) 100 cm,MRE-001,Pescatore,,,7.60,NE,,7.60,,dostupno
Podmetač sklopivi 2 m,OPR-010,Pescatore,,,17.70,NE,,17.70,,dostupno
Set noževa za filetiranje (INOX),NOZ-011,Pescatore,,,33.00,NE,,33.00,,dostupno
Nož Mikado – crvena drška,NOZ-012,Mikado,,,5.80,NE,,5.80,,dostupno
Nož Mikado inox – oštrica 9.4 cm,NOZ-013,Mikado,,,9.40,NE,,9.40,,dostupno
Nož ribarski slonovača – oštrica 9.3 cm,NOZ-022,Pescatore,,,24.50,NE,,24.50,,dostupno
Nož sklopivi MADERA – oštrica 9.5 cm,NOZ-014,Pescatore,,,14.30,NE,,14.30,,dostupno
Nož multifunkcionalni JELEN (6 alata),NOZ-015,Pescatore,,,8.70,NE,,8.70,,dostupno
Nož multifunkcionalni VEPAR (6 alata),NOZ-016,Pescatore,,,8.70,NE,,8.70,,dostupno
Nož sklopivi plavi – oštrica 7.7 cm,NOZ-017,Pescatore,,,8.50,NE,,8.50,,dostupno
Nož sklopivi crni – oštrica 8 cm,NOZ-018,Pescatore,,,8.50,NE,,8.50,,dostupno
Nož sklopivi VEPAR – oštrica 8 cm,NOZ-019,Pescatore,,,22.70,NE,,22.70,,dostupno
Nož lovački – oštrica 11 cm,NOZ-020,Pescatore,,,13.70,NE,,13.70,,dostupno
Mačeta – oštrica 45.8 cm,NOZ-021,Pescatore,,,24.70,NE,,24.70,,dostupno
Nož lovački zeleni – oštrica 11.2 cm,NOZ-023,Pescatore,,,19.40,NE,,19.40,,dostupno
Nož lovački VEPAR – oštrica 9.5 cm,NOZ-025,Pescatore,,,51.80,NE,,51.80,,dostupno
Nož lovački JELEN – oštrica 9.5 cm,NOZ-026,Pescatore,,,51.80,NE,,51.80,,dostupno
